fanPts,rush_attempt,rush_touchdown,tackled_for_loss,yards_gained,fumble,touchdown,complete_pass,pass_attempt,pass_touchdown,air_yards,yards_after_catch,qb_dropback,qb_hit,qb_scramble,sack,fanPts-1,rush_attempt-1,rush_touchdown-1,tackled_for_loss-1,yards_gained-1,fumble-1,touchdown-1,complete_pass-1,pass_attempt-1,pass_touchdown-1,air_yards-1,yards_after_catch-1,qb_dropback-1,qb_hit-1,qb_scramble-1,sack-1,fanPts-2,rush_attempt-2,rush_touchdown-2,tackled_for_loss-2,yards_gained-2,fumble-2,touchdown-2,complete_pass-2,pass_attempt-2,pass_touchdown-2,air_yards-2,yards_after_catch-2,qb_dropback-2,qb_hit-2,qb_scramble-2,sack-2,fanPts-3,rush_attempt-3,rush_touchdown-3,tackled_for_loss-3,yards_gained-3,fumble-3,touchdown-3,complete_pass-3,pass_attempt-3,pass_touchdown-3,air_yards-3,yards_after_catch-3,qb_dropback-3,qb_hit-3,qb_scramble-3,sack-3
0.28,2.0,0.0,0.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538.8,27.0,2.0,1.0,4148.0,22.0,28.0,351.0,614.0,25.0,0.0,0.0,612.0,23.0,1.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.5,0.0,0.0,0.0,45.0,0.0,2.0,5.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.2,0.0,0.0,0.0,122.0,1.0,2.0,11.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.9,0.0,0.0,0.0,59.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2,3.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.7,77.0,1.0,3.0,747.0,3.0,1.0,39.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.1,120.0,3.0,5.0,451.0,3.0,3.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,1.0,0.0,0.0,25.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.6,27.0,0.0,2.0,246.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
