,Algorithm,Type,Metric,Position,Subset,Multioutput,Opponent Data,PCA,Season Total + Play Mean Data,Season Total Data,Split by Position,Teammate Data
162,Neural Networks,MLP,MAE,All,Manual Feature Selection,,,,31.2,31.8,,
163,Neural Networks,MLP,MAE,All,Optimized + Standardized,,,,31.3,,,
164,Neural Networks,MLP,MAE,All,Standardization,,,,,31.7,,
165,Neural Networks,MLP,MAE,QB,"Downselected, Standardized Features",56.3,53.8,76.0,,,62.9,
166,Neural Networks,MLP,MAE,QB,Optimized,54.2,,75.0,,,62.4,
167,Neural Networks,MLP,MAE,RB,"Downselected, Standardized Features",45.0,40.5,54.9,,,46.2,
168,Neural Networks,MLP,MAE,RB,Optimized,43.5,,46.6,,,44.2,
169,Neural Networks,MLP,MAE,TE,"Downselected, Standardized Features",20.9,26.3,29.8,,,22.7,
170,Neural Networks,MLP,MAE,TE,Optimized,20.7,,21.7,,,22.5,
171,Neural Networks,MLP,MAE,WR,"Downselected, Standardized Features",38.7,36.4,50.1,,,39.2,
172,Neural Networks,MLP,MAE,WR,Optimized,37.5,,40.3,,,38.3,
173,Neural Networks,MLP,RMSE,All,Base Model,,,,50.9,,,
174,Neural Networks,MLP,RMSE,All,Base/Default Model,,,,,49.3,,
175,Neural Networks,MLP,RMSE,All,Hyperparameter Optimization,,,,,47.1,,
176,Neural Networks,MLP,RMSE,All,Manual Feature Selection,,,,46.7,47.1,,
177,Neural Networks,MLP,RMSE,All,Optimized + Standardized,,,,46.7,,,
178,Neural Networks,MLP,RMSE,All,Standardization,,,,,47.4,,
179,Neural Networks,MLP,RMSE,QB,"Downselected, Standardized Features",76.0,69.6,101.3,,,84.4,
180,Neural Networks,MLP,RMSE,QB,Optimized,73.5,,96.0,,,81.0,
181,Neural Networks,MLP,RMSE,RB,"Downselected, Standardized Features",63.6,54.5,78.5,,,64.4,
182,Neural Networks,MLP,RMSE,RB,Optimized,60.7,,68.3,,,61.9,
