tackled_for_loss_seasonTotal,yards_gained_seasonTotal,fumble_seasonTotal,touchdown_seasonTotal,complete_pass_seasonTotal,pass_attempt_seasonTotal,pass_touchdown_seasonTotal,air_yards_seasonTotal,qb_dropback_seasonTotal,qb_hit_seasonTotal,qb_scramble_seasonTotal,sack_seasonTotal,tackled_for_loss-1_seasonTotal,yards_gained-1_seasonTotal,fumble-1_seasonTotal,touchdown-1_seasonTotal,complete_pass-1_seasonTotal,pass_attempt-1_seasonTotal,pass_touchdown-1_seasonTotal,air_yards-1_seasonTotal,qb_dropback-1_seasonTotal,qb_hit-1_seasonTotal,qb_scramble-1_seasonTotal,sack-1_seasonTotal,tackled_for_loss-2_seasonTotal,yards_gained-2_seasonTotal,fumble-2_seasonTotal,touchdown-2_seasonTotal,complete_pass-2_seasonTotal,pass_attempt-2_seasonTotal,pass_touchdown-2_seasonTotal,air_yards-2_seasonTotal,qb_dropback-2_seasonTotal,qb_hit-2_seasonTotal,qb_scramble-2_seasonTotal,sack-2_seasonTotal,tackled_for_loss-3_seasonTotal,yards_gained-3_seasonTotal,fumble-3_seasonTotal,touchdown-3_seasonTotal,complete_pass-3_seasonTotal,pass_attempt-3_seasonTotal,pass_touchdown-3_seasonTotal,air_yards-3_seasonTotal,qb_dropback-3_seasonTotal,qb_hit-3_seasonTotal,qb_scramble-3_seasonTotal,sack-3_seasonTotal,tackled_for_loss_avgPerGame,yards_gained_avgPerGame,fumble_avgPerGame,touchdown_avgPerGame,complete_pass_avgPerGame,pass_attempt_avgPerGame,pass_touchdown_avgPerGame,air_yards_avgPerGame,qb_dropback_avgPerGame,qb_hit_avgPerGame,qb_scramble_avgPerGame,sack_avgPerGame,tackled_for_loss-1_avgPerGame,yards_gained-1_avgPerGame,fumble-1_avgPerGame,touchdown-1_avgPerGame,complete_pass-1_avgPerGame,pass_attempt-1_avgPerGame,pass_touchdown-1_avgPerGame,air_yards-1_avgPerGame,qb_dropback-1_avgPerGame,qb_hit-1_avgPerGame,qb_scramble-1_avgPerGame,sack-1_avgPerGame,tackled_for_loss-2_avgPerGame,yards_gained-2_avgPerGame,fumble-2_avgPerGame,touchdown-2_avgPerGame,complete_pass-2_avgPerGame,pass_attempt-2_avgPerGame,pass_touchdown-2_avgPerGame,air_yards-2_avgPerGame,qb_dropback-2_avgPerGame,qb_hit-2_avgPerGame,qb_scramble-2_avgPerGame,sack-2_avgPerGame,tackled_for_loss-3_avgPerGame,yards_gained-3_avgPerGame,fumble-3_avgPerGame,touchdown-3_avgPerGame,complete_pass-3_avgPerGame,pass_attempt-3_avgPerGame,pass_touchdown-3_avgPerGame,air_yards-3_avgPerGame,qb_dropback-3_avgPerGame,qb_hit-3_avgPerGame,qb_scramble-3_avgPerGame,sack-3_avgPerGame,fanPts,fanPts-1,fanPts-2,fanPts-3
1.0,551.0,1.0,5.0,42.0,82.0,3.0,0.0,82.0,5.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,275.5,0.5,2.5,21.0,41.0,1.5,0.0,41.0,2.5,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.04,,,
0.0,809.0,1.0,4.0,68.0,113.0,4.0,0.0,112.0,6.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,101.125,0.125,0.5,8.5,14.125,0.5,0.0,14.0,0.75,0.0,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.36,,,
0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,
6.0,2673.0,7.0,14.0,225.0,388.0,11.0,0.0,387.0,11.0,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46153846153846156,205.6153846153846,0.5384615384615384,1.0769230769230769,17.307692307692307,29.846153846153847,0.8461538461538461,0.0,29.76923076923077,0.8461538461538461,0.0,1.1538461538461537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.92000000000002,,,
0.0,305.0,0.0,3.0,32.0,68.0,3.0,0.0,67.0,5.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,61.0,0.0,0.6,6.4,13.6,0.6,0.0,13.4,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,
1.0,3223.0,10.0,32.0,232.0,440.0,30.0,0.0,431.0,28.0,0.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,230.21428571428572,0.7142857142857143,2.2857142857142856,16.571428571428573,31.428571428571427,2.142857142857143,0.0,30.785714285714285,2.0,0.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.91999999999996,,,
2.0,113.0,1.0,2.0,9.0,19.0,1.0,0.0,19.0,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,56.5,0.5,1.0,4.5,9.5,0.5,0.0,9.5,1.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52,,,
1.0,2681.0,17.0,11.0,249.0,469.0,10.0,0.0,465.0,32.0,0.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07142857142857142,191.5,1.2142857142857142,0.7857142857142857,17.785714285714285,33.5,0.7142857142857143,0.0,33.214285714285715,2.2857142857142856,0.0,2.642857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.24000000000001,,,
1.0,3335.0,18.0,25.0,284.0,560.0,24.0,0.0,554.0,31.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0625,208.4375,1.125,1.5625,17.75,35.0,1.5,0.0,34.625,1.9375,0.0,2.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.4,,,
0.0,1199.0,7.0,7.0,110.0,181.0,7.0,0.0,180.0,5.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,171.28571428571428,1.0,1.0,15.714285714285714,25.857142857142858,1.0,0.0,25.714285714285715,0.7142857142857143,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.96000000000001,,,
